pos_k,newbies_ratio,neg_k,mean_score
1.6666666666666665,2.0,8.0,8.93128507295174
1.6666666666666665,2.5,2.0,9.18243650258485
1.6666666666666665,2.5,4.0,9.215337349397588
1.6666666666666665,2.5,6.0,9.060255281690141
1.6666666666666665,2.5,8.0,8.93128507295174
1.6666666666666665,3.0,2.0,9.18243650258485
1.6666666666666665,3.0,4.0,9.215337349397588
1.6666666666666665,3.0,6.0,9.060255281690141
1.6666666666666665,3.0,8.0,8.93128507295174
2.0,1.0,2.0,9.170679723502303
2.0,1.0,4.0,9.189425515492337
2.0,1.0,6.0,9.03847167325428
2.0,1.0,8.0,8.92746365105008
2.0,1.5,2.0,9.170679723502303
2.0,1.5,4.0,9.189425515492337
2.0,1.5,6.0,9.03847167325428
2.0,1.5,8.0,8.92746365105008
2.0,2.0,2.0,9.170679723502303
2.0,2.0,4.0,9.189425515492337
2.0,2.0,6.0,9.03847167325428
2.0,2.0,8.0,8.92746365105008
2.0,2.5,2.0,9.170679723502303
2.0,2.5,4.0,9.189425515492337
2.0,2.5,6.0,9.03847167325428
2.0,2.5,8.0,8.92746365105008
2.0,3.0,2.0,9.127302017975241
2.0,3.0,4.0,9.086113589057389
2.0,3.0,6.0,8.89819990525817
2.0,3.0,8.0,8.782663926770034
2.333333333333333,1.0,2.0,9.155858747993578
2.333333333333333,1.0,4.0,9.15271147403685
2.333333333333333,1.0,6.0,8.990545203588681
2.333333333333333,1.0,8.0,8.88091777408638
2.333333333333333,1.5,2.0,9.155858747993578
2.333333333333333,1.5,4.0,9.15271147403685
2.333333333333333,1.5,6.0,9.051745936183021
2.333333333333333,1.5,8.0,8.969120762711864
2.333333333333333,2.0,2.0,9.141343100309099
2.333333333333333,2.0,4.0,9.119005732358174
2.333333333333333,2.0,6.0,9.012371705963938
2.333333333333333,2.0,8.0,8.931059390048155
2.333333333333333,2.5,2.0,9.141343100309099
2.333333333333333,2.5,4.0,9.119005732358174
2.333333333333333,2.5,6.0,9.012371705963938
2.333333333333333,2.5,8.0,8.931059390048155
2.333333333333333,3.0,2.0,9.101026910744002
2.333333333333333,3.0,4.0,9.031872867660262
2.333333333333333,3.0,6.0,8.907667071688941
2.333333333333333,3.0,8.0,8.823641379310343
2.6666666666666665,1.0,2.0,9.155858747993578
2.6666666666666665,1.0,4.0,9.15271147403685
2.6666666666666665,1.0,6.0,8.990545203588681
2.6666666666666665,1.0,8.0,8.88091777408638
2.6666666666666665,1.5,2.0,9.155858747993578
2.6666666666666665,1.5,4.0,9.15271147403685
2.6666666666666665,1.5,6.0,9.051745936183021
2.6666666666666665,1.5,8.0,8.969120762711864
2.6666666666666665,2.0,2.0,9.141343100309099
2.6666666666666665,2.0,4.0,9.119005732358174
2.6666666666666665,2.0,6.0,9.012371705963938
2.6666666666666665,2.0,8.0,8.931059390048155
2.6666666666666665,2.5,2.0,9.141343100309099
2.6666666666666665,2.5,4.0,9.119005732358174
2.6666666666666665,2.5,6.0,9.012371705963938
2.6666666666666665,2.5,8.0,8.931059390048155
2.6666666666666665,3.0,2.0,9.082268645060521
2.6666666666666665,3.0,4.0,8.997762364792337
2.6666666666666665,3.0,6.0,8.87591002933826
2.6666666666666665,3.0,8.0,8.798042077100813
3.0,1.0,2.0,9.155858747993578
3.0,1.0,4.0,9.15271147403685
3.0,1.0,6.0,8.990545203588681
3.0,1.0,8.0,8.88091777408638
3.0,1.5,2.0,9.155858747993578
3.0,1.5,4.0,9.15271147403685
3.0,1.5,6.0,9.051745936183021
3.0,1.5,8.0,8.969120762711864
3.0,2.0,2.0,9.134277632181039
3.0,2.0,4.0,9.103785578747628
3.0,2.0,6.0,8.997248427672956
3.0,2.0,8.0,8.918866506313892
3.0,2.5,2.0,9.134277632181039
3.0,2.5,4.0,9.103785578747628
3.0,2.5,6.0,8.997248427672956
3.0,2.5,8.0,8.918866506313892
3.0,3.0,2.0,9.076701751690226
3.0,3.0,4.0,8.989044921407483
3.0,3.0,6.0,8.8699012987013
3.0,3.0,8.0,8.795153267784848
3.333333333333333,1.0,2.0,9.155858747993578
3.333333333333333,1.0,4.0,9.15271147403685
3.333333333333333,1.0,6.0,8.990545203588681
3.333333333333333,1.0,8.0,8.88091777408638
3.333333333333333,1.5,2.0,9.155858747993578
3.333333333333333,1.5,4.0,9.15271147403685
3.333333333333333,1.5,6.0,9.051745936183021
3.333333333333333,1.5,8.0,8.969120762711864
3.333333333333333,2.0,2.0,9.120915836510473
3.333333333333333,2.0,4.0,9.074857719845786
3.333333333333333,2.0,6.0,8.962509391435011
3.333333333333333,2.0,8.0,8.883228661147587
3.333333333333333,2.5,2.0,9.120915836510473
3.333333333333333,2.5,4.0,9.074857719845786
3.333333333333333,2.5,6.0,8.962509391435011
3.333333333333333,2.5,8.0,8.883228661147587
3.333333333333333,3.0,2.0,9.026006158304654
3.333333333333333,3.0,4.0,8.899610094995039
3.333333333333333,3.0,6.0,8.773977495981425
3.333333333333333,3.0,8.0,8.70153650420826
3.6666666666666665,1.0,2.0,9.155858747993578
3.6666666666666665,1.0,4.0,9.15271147403685
3.6666666666666665,1.0,6.0,8.990545203588681
3.6666666666666665,1.0,8.0,8.88091777408638
3.6666666666666665,1.5,2.0,9.155858747993578
3.6666666666666665,1.5,4.0,9.15271147403685
3.6666666666666665,1.5,6.0,9.051745936183021
3.6666666666666665,1.5,8.0,8.969120762711864
3.6666666666666665,2.0,2.0,9.120915836510473
3.6666666666666665,2.0,4.0,9.074857719845786
3.6666666666666665,2.0,6.0,8.962509391435011
3.6666666666666665,2.0,8.0,8.883228661147587
3.6666666666666665,2.5,2.0,9.120915836510473
3.6666666666666665,2.5,4.0,9.074857719845786
3.6666666666666665,2.5,6.0,8.962509391435011
3.6666666666666665,2.5,8.0,8.883228661147587
3.6666666666666665,3.0,2.0,9.002837157845901
3.6666666666666665,3.0,4.0,8.858524996556948
3.6666666666666665,3.0,6.0,8.727105217840537
3.6666666666666665,3.0,8.0,8.65317848410758
4.0,1.0,2.0,9.155858747993578
4.0,1.0,4.0,9.147131767315253
4.0,1.0,6.0,8.991221807561253
4.0,1.0,8.0,8.889484854331467
4.0,1.5,2.0,9.155858747993578
4.0,1.5,4.0,9.147131767315253
4.0,1.5,6.0,9.049137070318071
4.0,1.5,8.0,8.971115901177251
4.0,2.0,2.0,9.116021069692056
4.0,2.0,4.0,9.063223068929686
4.0,2.0,6.0,8.955462962962963
4.0,2.0,8.0,8.882049608355091
4.0,2.5,2.0,9.116021069692056
4.0,2.5,4.0,9.063223068929686
4.0,2.5,6.0,8.955462962962963
4.0,2.5,8.0,8.882049608355091
4.0,3.0,2.0,8.99976685036032
4.0,3.0,4.0,8.858994464944647
4.0,3.0,6.0,8.734691881317246
4.0,3.0,8.0,8.665706945428774
